Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 1550, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:18:37
step 1560, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:18:54
step 1570, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:19:11
step 1580, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:19:28
step 1590, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:19:44
step 1600, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:20:02
step 1610, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:20:20
step 1620, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:20:37
step 1630, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:20:54
step 1640, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:21:11
step 1650, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:21:27
step 1660, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:21:45
step 1670, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:22:02
step 1680, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:22:18
step 1690, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:22:36
step 1700, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:22:54
step 1710, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:23:11
step 1720, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:23:29
step 1730, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:23:45
step 1740, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:24:02
step 1750, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:24:20
step 1760, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:24:36
step 1770, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:24:54
step 1780, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:25:12
step 1790, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:25:29
step 1800, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:25:47
step 1810, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:26:05
step 1820, training accuracy 0.96 , Light( 30 ), Dist( 50 ), 2015-11-28 19:26:21
