Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 1790, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:40:04
step 1800, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:40:12
step 1810, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:40:19
step 1820, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:40:27
step 1830, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:40:34
step 1840, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:40:42
step 1850, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:40:50
step 1860, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:40:57
step 1870, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:41:05
step 1880, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:41:12
step 1890, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:41:20
step 1900, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:41:28
step 1910, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:41:35
step 1920, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:41:43
step 1930, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:41:50
step 1940, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:41:58
step 1950, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:42:05
step 1960, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:42:13
step 1970, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:42:21
step 1980, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:42:29
step 1990, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:42:37
step 2000, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:42:44
step 2010, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:42:52
step 2020, training accuracy 0.94 , Light( 15 ), Dist( 140 ), 2015-11-27 17:43:00
step 2030, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:43:07
step 2040, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:43:15
step 2050, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:43:23
step 2060, training accuracy 0.96 , Light( 15 ), Dist( 140 ), 2015-11-27 17:43:30
step 2070, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:43:38
step 2080, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:43:45
step 2090, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:43:53
step 2100, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:44:01
step 2110, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:44:08
step 2120, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:44:16
step 2130, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:44:23
step 2140, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:44:31
step 2150, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:44:39
step 2160, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:44:46
step 2170, training accuracy 0.98 , Light( 15 ), Dist( 140 ), 2015-11-27 17:44:54
step 2180, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:45:01
step 2190, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:45:09
step 2200, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:45:16
step 2210, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:45:24
step 2220, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:45:31
step 2230, training accuracy 1 , Light( 15 ), Dist( 140 ), 2015-11-27 17:45:39
